rules,support,confidence,coverage,lift,count
{doc_506} => {doc_507},0.0012079598194418,0.655172413793103,0.00184372814546379,303.094320486815,19
{doc_507} => {doc_506},0.0012079598194418,0.558823529411765,0.00216161230847479,303.094320486815,19
{doc_470} => {doc_4c6},0.0010808061542374,0.204819277108434,0.00527687710598258,11.1861194779116,17
{doc_714} => {doc_574},0.0010808061542374,0.369565217391304,0.00292453429970119,113.978260869565,17
{doc_574} => {doc_714},0.0010808061542374,0.333333333333333,0.00324241846271219,113.978260869565,17
{doc_4bf} => {doc_4ac},0.0010808061542374,0.5,0.00216161230847479,77.1029411764706,17
{doc_6e9} => {doc_6e8},0.0012079598194418,0.678571428571429,0.00178015131286159,333.5390625,19
{doc_6e8} => {doc_6e9},0.0012079598194418,0.59375,0.00203445864327039,333.5390625,19
{doc_6e9} => {doc_6e7},0.001271536652044,0.714285714285714,0.00178015131286159,321,20
{doc_6e7} => {doc_6e9},0.001271536652044,0.571428571428571,0.00222518914107699,321,20
{doc_749} => {doc_74a},0.0010172293216352,0.355555555555556,0.00286095746709899,86.0389743589744,16
{doc_74a} => {doc_749},0.0010172293216352,0.246153846153846,0.00413249411914298,86.0389743589744,16
{doc_6e8} => {doc_6e7},0.00133511348464619,0.65625,0.00203445864327039,294.91875,21
{doc_6e7} => {doc_6e8},0.00133511348464619,0.6,0.00222518914107699,294.91875,21
{doc_3d6} => {doc_3c4},0.0011443829868396,0.246575342465753,0.00464110877996058,79.1506849315068,18
{doc_3c4} => {doc_3d6},0.0011443829868396,0.36734693877551,0.00311526479750779,79.1506849315068,18
{doc_3d6} => {doc_4b4},0.0010172293216352,0.219178082191781,0.00464110877996058,51.4545082805152,16
{doc_4b4} => {doc_3d6},0.0010172293216352,0.238805970149254,0.00425964778434738,51.4545082805152,16
{doc_3c4} => {doc_574},0.0010172293216352,0.326530612244898,0.00311526479750779,100.705882352941,16
{doc_574} => {doc_3c4},0.0010172293216352,0.313725490196078,0.00324241846271219,100.705882352941,16
{doc_3c4} => {doc_4b4},0.0012079598194418,0.387755102040816,0.00311526479750779,91.0298507462687,19
{doc_4b4} => {doc_3c4},0.0012079598194418,0.283582089552239,0.00425964778434738,91.0298507462687,19
{doc_574} => {doc_4b4},0.0010808061542374,0.333333333333333,0.00324241846271219,78.2537313432836,17
{doc_4b4} => {doc_574},0.0010808061542374,0.253731343283582,0.00425964778434738,78.2537313432836,17
{doc_803} => {doc_800},0.0011443829868396,0.236842105263158,0.00483183927776718,44.8830057070387,18
{doc_800} => {doc_803},0.0011443829868396,0.216867469879518,0.00527687710598258,44.8830057070387,18
{doc_803} => {doc_3fc},0.00158942081505499,0.328947368421053,0.00483183927776718,59.4714156079855,25
{doc_3fc} => {doc_803},0.00158942081505499,0.28735632183908,0.00553118443639138,59.4714156079855,25
{doc_5be} => {doc_5ca},0.0010172293216352,0.32,0.00317884163010999,59.92,16
{doc_a77} => {doc_8f9},0.001271536652044,0.253164556962025,0.00502256977557378,20.7397151898734,20
{doc_764} => {doc_4b4},0.0012079598194418,0.365384615384615,0.00330599529531439,85.7781285878301,19
{doc_4b4} => {doc_764},0.0012079598194418,0.283582089552239,0.00425964778434738,85.7781285878301,19
{doc_971} => {doc_972},0.00133511348464619,0.295774647887324,0.00451395511475618,31.2230834672464,21
{doc_971} => {doc_8f9},0.001271536652044,0.28169014084507,0.00451395511475618,23.0765845070423,20
{doc_c69} => {doc_c21},0.00133511348464619,0.304347826086957,0.00438680144955178,62.1699604743083,21
{doc_c21} => {doc_c69},0.00133511348464619,0.272727272727273,0.00489541611036938,62.1699604743083,21
{doc_c69} => {doc_8f9},0.0012079598194418,0.27536231884058,0.00438680144955178,22.5581974637681,19
